human,humanLabel,uniLabel,plcLabel
http://www.wikidata.org/entity/Q5107121,Chris Kirubi,University of Gothenburg,Kenya
http://www.wikidata.org/entity/Q1043,Carl Linnaeus,Lund University,Råshult
http://www.wikidata.org/entity/Q15405,Elias Magnus Fries,Lund University,Q10494613
http://www.wikidata.org/entity/Q52951,Arvid Posse,Lund University,Helsingborg
http://www.wikidata.org/entity/Q53707,Tage Erlander,Lund University,Ransäter
http://www.wikidata.org/entity/Q53740,Ingvar Carlsson,Lund University,Borås
http://www.wikidata.org/entity/Q58304,Utoni Nujoma,Lund University,Windhoek
http://www.wikidata.org/entity/Q96424,Erwin Leiser,Lund University,Berlin
http://www.wikidata.org/entity/Q121753,Eva Brunne,Lund University,Malmö
http://www.wikidata.org/entity/Q127719,Jonas Hafström,Lund University,Stockholm
http://www.wikidata.org/entity/Q129454,Peter Egardt,Lund University,Lund
http://www.wikidata.org/entity/Q170741,Manne Siegbahn,Lund University,Örebro
http://www.wikidata.org/entity/Q179493,Bertil Ohlin,Lund University,Parish of Klippan
http://www.wikidata.org/entity/Q179682,Björn Ulvaeus,Lund University,Gothenburg
http://www.wikidata.org/entity/Q194665,Jesper Svenbro,Lund University,Landskrona
http://www.wikidata.org/entity/Q217500,Rupiah Banda,Lund University,Gwanda
http://www.wikidata.org/entity/Q225850,Sven Nilsson,Lund University,Asmundtorp parish
http://www.wikidata.org/entity/Q235374,Amelia Andersdotter,Lund University,Enköping
http://www.wikidata.org/entity/Q270848,Erika Lust,Lund University,Stockholm
http://www.wikidata.org/entity/Q272545,Sofia Helin,Lund University,Hovsta
http://www.wikidata.org/entity/Q277899,Frans Gustaf Emanuel Walberg,Lund University,Lund
http://www.wikidata.org/entity/Q291194,Hjalmar Gullberg,Lund University,Malmö
http://www.wikidata.org/entity/Q295768,Bengt I. Samuelsson,Lund University,Halmstad
http://www.wikidata.org/entity/Q297907,Örjan Wikander,Lund University,Helsingborg
http://www.wikidata.org/entity/Q298045,Arvid Carlsson,Lund University,Uppsala
http://www.wikidata.org/entity/Q298317,Östen Undén,Lund University,Karlstad
http://www.wikidata.org/entity/Q311567,Johannes Rydberg,Lund University,Halmstad
http://www.wikidata.org/entity/Q315622,K. G. Hammar,Lund University,Hässleholm
http://www.wikidata.org/entity/Q321959,Martin P. Nilsson,Lund University,Q10680407
