humanLabel,uniLabel,orgLabel,orglocationLabel,orgcountryLabel
Elis Strömgren,Lund University,University of Kiel,Kiel,Germany
Elis Strömgren,Lund University,University of Copenhagen,Kiel,Germany
Elis Strömgren,Lund University,Lund University,Kiel,Germany
Bengt I. Samuelsson,Lund University,Karolinska Institute,Stockholm,Sweden
Lars Hörmander,Lund University,Lund University,Stockholm,Sweden
Lars Hörmander,Lund University,Stockholm University,Stockholm,Sweden
Rolf Maximilian Sievert,Karolinska Institute,Karolinska Institute,Stockholm,Sweden
Ivar Wickman,Karolinska Institute,Karolinska Institute,Stockholm,Sweden
Göran Liljestrand,Karolinska Institute,Karolinska Institute,Stockholm,Sweden
Ewa Björling,Karolinska Institute,Karolinska Institute,Stockholm,Sweden
Carl Gustaf Mosander,Karolinska Institute,Karolinska Institute,Stockholm,Sweden
Erik Ringmar,Uppsala University,London School of Economics and Political Science,London,United Kingdom
Erik Ringmar,Uppsala University,Lund University,London,United Kingdom
Erik Ringmar,Uppsala University,Mid Sweden University,London,United Kingdom
Karolina Ekholm,Uppsala University,Stockholm University,Stockholm,Sweden
Karolina Ekholm,Uppsala University,Stockholm School of Economics,Stockholm,Sweden
Agnes Geijer,Uppsala University,Swedish National Heritage Board,Stockholm,Sweden
Ingrid Hammarström,Uppsala University,Stockholm University,Stockholm,Sweden
Solfrid Söderlind,Uppsala University,Uppsala University,Stockholm,Sweden
Solfrid Söderlind,Uppsala University,Lund University,Stockholm,Sweden
Solfrid Söderlind,Uppsala University,Nationalmuseum,Stockholm,Sweden
Germain Henri Hess,Stockholm University,Imperial St. Petersburg University,Saint Petersburg,Russia
Germain Henri Hess,Stockholm University,Q58346416,Saint Petersburg,Russia
Walter Gordon,Stockholm University,University of Hamburg,Hamburg,Germany
Walter Gordon,Stockholm University,Stockholm University,Hamburg,Germany
Walter Gordon,Stockholm University,University of Hamburg,Stockholm,Sweden
Walter Gordon,Stockholm University,Stockholm University,Stockholm,Sweden
Heinz Leymann,Stockholm University,Stockholm University,Stockholm,Sweden
Heinz Leymann,Stockholm University,Umeå University,Stockholm,Sweden
Svante August Arrhenius,Stockholm University,Uppsala University,Stockholm,Sweden
Svante August Arrhenius,Stockholm University,Stockholm University,Stockholm,Sweden
Svante August Arrhenius,Stockholm University,Riga Technical University,Stockholm,Sweden
Johan Håstad,Stockholm University,Royal Institute of Technology,Stockholm,Sweden
Gerhard Fischer,University of Gothenburg,University of Cambridge,Cambridge,United Kingdom
Johan Mölne,University of Gothenburg,University of Cambridge,Cambridge,United Kingdom
Anna Wåhlin,University of Gothenburg,Stockholm University,Stockholm,Sweden
Anna Wåhlin,University of Gothenburg,University of Gothenburg,Stockholm,Sweden
Q50377570,University of Gothenburg,Royal Institute of Technology,Stockholm,Sweden
Dan H. Yaalon,Swedish University of Agricultural Sciences,Hebrew University of Jerusalem,Jerusalem,Israel
Walborg Thorsell,Swedish University of Agricultural Sciences,Stockholm University,Stockholm,Sweden
Johan Rockström,Swedish University of Agricultural Sciences,Stockholm University,Stockholm,Sweden
Ylva Lindqvist,Swedish University of Agricultural Sciences,Karolinska Institute,Stockholm,Sweden
Katarina Lyberg,Swedish University of Agricultural Sciences,Karolinska Institute,Stockholm,Sweden
Fredrik Bäckhed,Linköping University,University of Cambridge,Cambridge,United Kingdom
Fredrik Bäckhed,Linköping University,University of Gothenburg,Cambridge,United Kingdom
Björn von Sydow,Linköping University,Stockholm University,Stockholm,Sweden
Gustaf Robert Dahlander,Chalmers University of Technology,Chalmers University of Technology,Stockholm,Sweden
Gustaf Robert Dahlander,Chalmers University of Technology,Royal Institute of Technology,Stockholm,Sweden
Emil Victor Langlet,Chalmers University of Technology,Royal Institute of Technology,Stockholm,Sweden
Gunnar Svedberg,Royal Institute of Technology,University of Gothenburg,Stockholm,Sweden
Gunnar Svedberg,Royal Institute of Technology,Royal Institute of Technology,Stockholm,Sweden
Gunnar von Heijne,Royal Institute of Technology,Karolinska Institute,Stockholm,Sweden
Gunnar von Heijne,Royal Institute of Technology,Stockholm University,Stockholm,Sweden
Gunnar von Heijne,Royal Institute of Technology,Royal Institute of Technology,Stockholm,Sweden
Gunnar von Heijne,Royal Institute of Technology,Karolinska Institute,Stockholm,Sweden
Gunnar von Heijne,Royal Institute of Technology,Stockholm University,Stockholm,Sweden
Gunnar von Heijne,Royal Institute of Technology,Royal Institute of Technology,Stockholm,Sweden
Gunnar von Heijne,Royal Institute of Technology,Karolinska Institute,Stockholm,Sweden
Gunnar von Heijne,Royal Institute of Technology,Stockholm University,Stockholm,Sweden
Gunnar von Heijne,Royal Institute of Technology,Royal Institute of Technology,Stockholm,Sweden
Måns Ehrenberg,Royal Institute of Technology,Uppsala University,Stockholm,Sweden
Måns Ehrenberg,Royal Institute of Technology,Karolinska Institute,Stockholm,Sweden
Lars Ekbom,Royal Institute of Technology,Royal Institute of Technology,Stockholm,Sweden
